model,num_classes,num_ensemble,clf_error,l2_logits,epoch
tabpfn,2,4,0.39792388677597046,0.15946051478385925,0
tabpfn,2,4,0.31026530265808105,0.11635307967662811,0
tabpfn,2,4,0.31141871213912964,0.11437854915857315,0
tabpfn,2,4,0.4002307057380676,0.1678861826658249,0
tabpfn,2,4,0.21107268333435059,0.0959734246134758,0
tabpfn,2,4,0.27450984716415405,0.11650032550096512,0
tabpfn,2,4,0.2860438823699951,0.11445913463830948,0
tabpfn,2,4,0.20876586437225342,0.10260148346424103,0
tabpfn,2,4,0.2450980544090271,0.0928289070725441,0
tabpfn,2,4,0.48366010189056396,0.09109386801719666,0
tabpfn,2,4,0.23856210708618164,0.10797180980443954,0
tabpfn,2,4,0.27124184370040894,0.11742226779460907,0
tabpfn,2,4,0.2908496856689453,0.10019795596599579,0
tabpfn,2,4,0.22549021244049072,0.10065333545207977,0
tabpfn,2,4,0.27124184370040894,0.08090879768133163,0
tabpfn,2,4,0.2777777910232544,0.06530695408582687,0
tabpfn,2,4,0.2647058963775635,0.11236325651407242,0
tabpfn,2,4,0.29738563299179077,0.11399223655462265,0
tabpfn,2,4,0.2908496856689453,0.11967991292476654,0
tabpfn,2,4,0.398692786693573,0.10259658843278885,0
tabpfn,2,4,0.28431373834609985,0.11834818124771118,0
tabpfn,2,4,0.24836599826812744,0.11318250745534897,0
tabpfn,2,4,0.21895426511764526,0.11068721115589142,0
tabpfn,2,4,0.2679738402366638,0.10663425922393799,0
tabpfn,2,4,0.3888888955116272,0.1016804575920105,0
tabpfn,2,4,0.18627452850341797,0.09209608286619186,0
tabpfn,2,4,0.2777777910232544,0.11782282590866089,0
tabpfn,2,4,0.30392158031463623,0.11471039056777954,0
tabpfn,2,4,0.2450980544090271,0.10533216595649719,0
tabpfn,2,4,0.3006535768508911,0.12111081928014755,0
tabpfn,2,4,0.4183006286621094,0.10720640420913696,0
tabpfn,2,4,0.2908496856689453,0.11362025886774063,0
tabpfn,2,4,0.3529411554336548,0.09950142353773117,0
tabpfn,2,4,0.2450980544090271,0.10895370692014694,0
tabpfn,2,4,0.2679738402366638,0.109281025826931,0
tabpfn,2,4,0.18627452850341797,0.11167675256729126,0
tabpfn,2,4,0.26143789291381836,0.11172810196876526,0
tabpfn,2,4,0.08823525905609131,0.06702367961406708,0
tabpfn,2,4,0.2745097875595093,0.10927119851112366,0
tabpfn,2,4,0.2222222089767456,0.09759675711393356,0
tabpfn,2,4,0.38348084688186646,0.08892104029655457,0
tabpfn,2,4,0.31120944023132324,0.12160272151231766,0
tabpfn,2,4,0.44542771577835083,0.1237669289112091,0
tabpfn,2,4,0.31563425064086914,0.11759967356920242,0
tabpfn,2,4,0.35545724630355835,0.1692143976688385,0
tabpfn,2,4,0.2935103178024292,0.11006218940019608,0
tabpfn,2,4,0.2905604839324951,0.11964911222457886,0
tabpfn,2,4,0.2935103178024292,0.11466643214225769,0
